sample,fastq,type,replicate,fast5_dir,target
native_16s_rep1,/absolute/path/to/covbench/results_all_tools_16S/filtlong/native/90x/native_16s_1_90x_filtlong.fastq.gz,native,rep1,/absolute/path/to/k12_native_fast5,16s
ivt_16s_rep1,/absolute/path/to/covbench/results_all_tools_16S/filtlong/ivt/90x/ivt_16S_1_90x_filtlong.fastq.gz,ivt,rep1,/absolute/path/to/k12_ivt_fast5,16s
native_23s_rep1,/absolute/path/to/covbench/results_all_tools_23S/filtlong/native/90x/native_23S_1_90x_filtlong.fastq.gz,native,rep1,/absolute/path/to/k12_native_fast5,23s
ivt_23s_rep1,/absolute/path/to/covbench/results_all_tools_23S/filtlong/ivt/90x/ivt_23S_1_90x_filtlong.fastq.gz,ivt,rep1,/absolute/path/to/k12_ivt_fast5,23s
native_16s_rep2,/absolute/path/to/covbench/results_all_tools_16S/filtlong/native/90x/native_16s_2_90x_filtlong.fastq.gz,native,rep2,/absolute/path/to/k12_native_fast5,16s
ivt_16s_rep2,/absolute/path/to/covbench/results_all_tools_16S/filtlong/ivt/90x/ivt_16S_2_90x_filtlong.fastq.gz,ivt,rep2,/absolute/path/to/k12_ivt_fast5,16s
native_23s_rep2,/absolute/path/to/covbench/results_all_tools_23S/filtlong/native/90x/native_23S_2_90x_filtlong.fastq.gz,native,rep2,/absolute/path/to/k12_native_fast5,23s
ivt_23s_rep2,/absolute/path/to/covbench/results_all_tools_23S/filtlong/ivt/90x/ivt_23S_2_90x_filtlong.fastq.gz,ivt,rep2,/absolute/path/to/k12_ivt_fast5,23s
native_16s_rep3,/absolute/path/to/covbench/results_all_tools_16S/filtlong/native/90x/native_16s_3_90x_filtlong.fastq.gz,native,rep3,/absolute/path/to/k12_native_fast5,16s
ivt_16s_rep3,/absolute/path/to/covbench/results_all_tools_16S/filtlong/ivt/90x/ivt_16S_3_90x_filtlong.fastq.gz,ivt,rep3,/absolute/path/to/k12_ivt_fast5,16s
native_23s_rep3,/absolute/path/to/covbench/results_all_tools_23S/filtlong/native/90x/native_23S_3_90x_filtlong.fastq.gz,native,rep3,/absolute/path/to/k12_native_fast5,23s
ivt_23s_rep3,/absolute/path/to/covbench/results_all_tools_23S/filtlong/ivt/90x/ivt_23S_3_90x_filtlong.fastq.gz,ivt,rep3,/absolute/path/to/k12_ivt_fast5,23s
